ID Cliente,Zona,País,Tipo de producto,ID Pedido,Unidades,Precio Unitario,Coste unitario,Importe venta total,Importe Coste total
C2421,Europa,United Kingdom,Snacks,242113196,5530,152.58,97.44,843767.4,538843.2
C1908,Europa,Malta,Cárnicos,190800607,994,421.89,364.69,419358.66,362501.86
C7652,Australia y Oceanía,Marshall Islands,Cereales,765228068,6845,205.7,117.11,1408016.5,801617.95
C2326,África,Iran,Frutas,232631909,9806,9.33,6.92,91489.98,67857.52
C5305,Centroamérica y Caribe,Guatemala,Alimento infantil,530560958,3633,255.28,159.42,927432.24,579172.86
C5168,Centroamérica y Caribe,Grenada,Bebida,516876542,4110,47.45,31.79,195019.5,130656.9
C9197,Australia y Oceanía,Fiji,Snacks,919752490,4056,152.58,97.44,618864.48,395216.64
C2876,África,Tunisia ,Cosméticos,287675130,8319,437.2,263.33,3637066.8,2190642.27
C8394,Centroamérica y Caribe,Grenada,Cuidado personal,839443290,8779,81.73,56.67,717507.67,497505.93
C8141,Australia y Oceanía,Australia,Material de oficina,814168298,9347,651.21,524.96,6086859.87,4906801.12
C3212,Norteamérica,Greenland,Cosméticos,321273982,966,437.2,263.33,422335.2,254376.78
C8904,África,Angola,Snacks,890496671,6609,152.58,97.44,1008401.22,643980.96
C5218,África,Zambia,Bebida,521885192,6281,47.45,31.79,298033.45,199672.99
C4358,África,Kenya,Verduras,435800874,2018,154.06,90.93,310893.08,183496.74
C1229,África,Azerbaijan,Frutas,122917544,2888,9.33,6.92,26945.04,19984.96
C4942,África,Mozambique,Cuidado personal,494221532,9989,81.73,56.67,816400.97,566076.63
C7310,Australia y Oceanía,Federated States of Micronesia,Cosméticos,731011664,1451,437.2,263.33,634377.2,382091.83
C5348,Centroamérica y Caribe,Dominican Republic,Snacks,534899270,7436,152.58,97.44,1134584.88,724563.84
C5778,África,Libya,Material de oficina,577808177,5135,651.21,524.96,3343963.35,2695669.6
C2519,Asia,Uzbekistan,Material de oficina,251974713,3772,651.21,524.96,2456364.12,1980149.12
C8199,Asia,Sri Lanka,Cuidado personal,819947707,9602,81.73,56.67,784771.46,544145.34
C4645,África,The Gambia,Cosméticos,464588487,912,437.2,263.33,398726.4,240156.96
C1390,Asia,Myanmar,Snacks,139070880,3019,152.58,97.44,460639.02,294171.36
C4168,Asia,Bhutan,Ropa,416881215,3270,109.28,35.84,357345.6,117196.8
C1418,África,Mali,Verduras,141818320,6047,154.06,90.93,931600.82,549853.71
C4779,África,Burundi,Cuidado personal,477993524,7761,81.73,56.67,634306.53,439815.87
C8598,África,Libya,Ropa,859830653,1852,109.28,35.84,202386.56,66375.68
C3420,África,Nigeria,Ropa,342066037,3797,109.28,35.84,414936.16,136084.48
C7497,Europa,Norway,Doméstico,749748504,6098,668.27,502.54,4075110.46,3064488.92
C8282,África,Kenya,Cosméticos,828239381,3293,437.2,263.33,1439699.6,867145.69
C2932,Australia y Oceanía,Papua New Guinea,Verduras,293212497,6948,154.06,90.93,1070408.88,631781.64
C2806,Asia,North Korea,Cuidado personal,280654180,663,81.73,56.67,54186.99,37572.21
C1968,Europa,Montenegro,Ropa,196863257,5067,109.28,35.84,553721.76,181601.28
C8684,Europa,Norway,Frutas,868451058,2822,9.33,6.92,26329.26,19528.24
C4923,África,Lesotho,Ropa,492341411,3619,109.28,35.84,395484.32,129704.96
C4857,Asia,Indonesia,Cárnicos,485770642,9183,421.89,364.69,3874215.87,3348948.27
C5362,África,Iraq,Bebida,536287581,8268,47.45,31.79,392316.6,262839.72
C8517,Asia,Singapore,Cereales,851753556,1660,205.7,117.11,341462,194402.6
C8103,Asia,South Korea,Verduras,810342395,7177,154.06,90.93,1105688.62,652604.61
